"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
Amnat Charoen,Amnat Charoen,15.8585,104.6288,Thailand,TH,THA,Amnat Charoen,admin,,1764038016
Chiang Rai,Chiang Rai,19.9119,99.8265,Thailand,TH,THA,Chiang Rai,admin,117127,1764748544
Bangkok,Bangkok,13.75,100.5166,Thailand,TH,THA,Krung Thep Maha Nakhon,primary,6704000,1764068608
Samut Prakan,Samut Prakan,13.6069,100.6115,Thailand,TH,THA,Samut Prakan,admin,388920,1764159232
Rayong,Rayong,12.6718,101.2815,Thailand,TH,THA,Rayong,admin,37035,1764920064
Chon Buri,Chon Buri,13.4004,101,Thailand,TH,THA,Chon Buri,admin,226618,1764202112
Si Racha,Si Racha,13.159,100.9287,Thailand,TH,THA,Chon Buri,minor,178916,1764003328
Phitsanulok,Phitsanulok,16.8283,100.2729,Thailand,TH,THA,Phitsanulok,admin,164017,1764140928
Yala,Yala,6.5505,101.2851,Thailand,TH,THA,Yala,admin,148140,1764430336
Phayao,Phayao,19.1707,99.9083,Thailand,TH,THA,Phayao,admin,21058,1764291072
Phatthalung,Phatthalung,7.615,100.081,Thailand,TH,THA,Phatthalung,admin,43522,1764240896
Nong Khai,Nong Khai,17.8733,102.7479,Thailand,TH,THA,Nong Khai,admin,104505,1764279168
Sukhothai,Sukhothai,17.0119,99.7515,Thailand,TH,THA,Sukhothai,admin,10276,1764175744
Sing Buri,Sing Buri,14.887,100.401,Thailand,TH,THA,Sing Buri,admin,20046,1764482048
Satun,Satun,6.6167,100.0667,Thailand,TH,THA,Satun,admin,34544,1764835968
Ranong,Ranong,9.962,98.638,Thailand,TH,THA,Ranong,admin,24561,1764623744
Prachin Buri,Prachin Buri,14.0572,101.3768,Thailand,TH,THA,Prachin Buri,admin,79757,1764262528
Sa Kaeo,Sa Kaeo,13.8141,102.0722,Thailand,TH,THA,Sa Kaeo,admin,,1764207104
Roi Et,Roi Et,16.051,103.655,Thailand,TH,THA,Roi Et,admin,39328,1764216704
Phuket,Phuket,7.8765,98.3815,Thailand,TH,THA,Phuket,admin,141618,1764327808
Phrae,Phrae,18.1533,100.1629,Thailand,TH,THA,Phrae,admin,38538,1764209536
Phichit,Phichit,16.439,100.349,Thailand,TH,THA,Phichit,admin,35760,1764024192
Phetchabun,Phetchabun,16.419,101.159,Thailand,TH,THA,Phetchabun,admin,50656,1764518272
Chaiyaphum,Chaiyaphum,15.804,102.0386,Thailand,TH,THA,Chaiyaphum,admin,58350,1764784768
Chanthaburi,Chanthaburi,12.6133,102.0979,Thailand,TH,THA,Chanthaburi,admin,99819,1764151680
Chainat,Chainat,15.179,100.126,Thailand,TH,THA,Chai Nat,admin,15469,1764848768
Chachoengsao,Chachoengsao,13.679,101.076,Thailand,TH,THA,Chachoengsao,admin,49741,1764632320
Ang Thong,Ang Thong,14.5833,100.45,Thailand,TH,THA,Ang Thong,admin,13738,1764529920
Surat Thani,Surat Thani,9.1501,99.3401,Thailand,TH,THA,Surat Thani,admin,157627,1764338176
Ayutthaya,Ayutthaya,14.3588,100.5684,Thailand,TH,THA,Phra Nakhon Si Ayutthaya,admin,145615,1764002304
Phangnga,Phangnga,8.451,98.534,Thailand,TH,THA,Phangnga,admin,9676,1764855936
Lampang,Lampang,18.2916,99.4813,Thailand,TH,THA,Lampang,admin,204081,1764081792
Kalasin,Kalasin,16.428,103.509,Thailand,TH,THA,Kalasin,admin,55102,1764060928
Nakhon Sawan,Nakhon Sawan,15.7,100.07,Thailand,TH,THA,Nakhon Sawan,admin,111915,1764821120
